annee;nom;prenom;code_categorie_iuf;categorie_iuf;code_reconduction_iuf;reconduction_iuf;code_sexe;sexe;code_section_cnu;section_cnu;code_groupe_cnu;groupe_cnu;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;numero_national_de_structure_de_recherche;unite_de_recherche;code_academie;academie;code_region;region;code_pres;pres;code_idex;idex;latitude;longitude;discipline_nomenclature;etablissement
2014;SEIDELIN;SIGNE-LOUISE;1;Junior;0;Nouvelle candidature;2;Femmes;28;Section 28 - Milieux denses et materiaux;6;Physique;3;Sciences;2;Maîtres de conferences et assimiles;0383493R;200717524X;Institut Neel;8;Grenoble;82;Rhône-Alpes;;Hors PRES;;Hors IDEX;45.1918;5.76726;Sciences>Physique>Section 28 - Milieux denses et materiaux;Universite de Grenoble Alpes
2014;LOMBEZ;CHRISTINE;2;Senior;0;Nouvelle candidature;2;Femmes;10;Section 10 - Litteratures comparees;3;Langues et Litteratures;2;Lettres et sciences humaines;1;Professeurs et assimiles;0440984F;200815513G;L'Antique, le Moderne;17;Nantes;52;Pays de la Loire;0442665H;PRES Universite Nantes Angers Maine;;Hors IDEX;47.2096489;-1.5557859;Lettres et sciences humaines>Langues et Litteratures>Section 10 - Litteratures comparees;Universite de Nantes
2014;ARNOUX;ANNA;2;Senior;0;Nouvelle candidature;2;Femmes;22;"Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";4;Sciences humaines;2;Lettres et sciences humaines;1;Professeurs et assimiles;0761904G;200415091R;Groupe de Recherche d'Histoire;21;Rouen;23;Haute-Normandie;0142382N;Normandie Universite;;Hors IDEX;49.4603349;1.0673087;"Lettres et sciences humaines>Sciences humaines>Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";Universite de Rouen
2014;DUPERRON;SEBASTIEN;1;Junior;0;Nouvelle candidature;1;Hommes;68;Section 68 - Biologie des organismes;10;Biologie et Biochimie;3;Sciences;2;Maîtres de conferences et assimiles;0751722P;200919362L;Biologie des Organismes et ecosystèmes Aquatiques;1;Paris;11;Île-de-France;0755574B;Sorbonne Universites;5;IDEX SUPER;48.8464111;2.3548468;Sciences>Biologie et Biochimie>Section 68 - Biologie des organismes;Universite Pierre et Marie Curie
2014;LANGIN;DOMINIQUE;2;Senior;0;Nouvelle candidature;1;Hommes;44;Section 44 - Biochimie, biologie cellulaire;14;Medecine;4;Sante;1;Professeurs et assimiles;0311384L;201119371M;Institut des Maladies Metaboliques et Cardiovasculaires de Toulouse;16;Toulouse;73;Midi-Pyrenees;0312758E;Universite federale de Toulouse Midi-Pyrenees;6;IDEX UNITI;43.5570857;1.4660794;Sante>Medecine>Section 44 - Biochimie, biologie cellulaire;Universite de Toulouse 3 - Paul Sabatier
2014;CHATTERJI;INDIRA;1;Junior;0;Nouvelle candidature;2;Femmes;25;Section 25 - Mathematiques;5;Mathematiques et Informatique;3;Sciences;1;Professeurs et assimiles;0450855K;201220243F;Laboratoire Mathematiques et Applications, Physique Mathematique d'Orleans;18;Orleans-Tours;24;Centre;0371692N;PRES Centre-Val de Loire Universite;;Hors IDEX;47.8482037;1.9320773;Sciences>Mathematiques et Informatique>Section 25 - Mathematiques;Universite d'Orleans
2014;BOUSQUET;PHILIPPE;2;Senior;0;Nouvelle candidature;1;Hommes;37;Section 37 - Meteorologie, oceanographie physique et physique de l'environnement;8;Sciences de la terre;3;Sciences;1;Professeurs et assimiles;0781944P;200611689J;Laboratoire des Sciences du Climat et de l'Environnement;25;Versailles;11;Île-de-France;0783617H;PRES Universite du Grand Ouest parisien;;Hors IDEX;48.7997049;2.1409463;Sciences>Sciences de la terre>Section 37 - Meteorologie, oceanographie physique et physique de l'environnement;Universite de Versailles Saint-Quentin-en-Yvelines
2014;PENE;FRANCOISE;1;Junior;0;Nouvelle candidature;2;Femmes;25;Section 25 - Mathematiques;5;Mathematiques et Informatique;3;Sciences;2;Maîtres de conferences et assimiles;0290346U;200412254G;Laboratoire de Mathematiques de Bretagne Atlantique;14;Rennes;53;Bretagne;0352756F;Universite Bretagne Loire;;Hors IDEX;48.3984384;-4.5083086;Sciences>Mathematiques et Informatique>Section 25 - Mathematiques;Universite de Bretagne Occidentale
2014;MERKEL;SEBASTIEN;1;Junior;0;Nouvelle candidature;1;Hommes;28;Section 28 - Milieux denses et materiaux;6;Physique;3;Sciences;1;Professeurs et assimiles;0593559Y;201019109G;Unite Materiaux et Transformations;9;Lille;31;Nord-Pas-de-Calais;0596870X;Universite Lille Nord de France;;Hors IDEX;50.611588;3.1424952;Sciences>Physique>Section 28 - Milieux denses et materiaux;Universite Lille 1 - Sciences technologies
2014;GATEL;CHRISTOPHE;1;Junior;0;Nouvelle candidature;1;Hommes;28;Section 28 - Milieux denses et materiaux;6;Physique;3;Sciences;2;Maîtres de conferences et assimiles;0311384L;199117683P;Centre d'elaboration de Materiaux et d'etudes Structurales;16;Toulouse;73;Midi-Pyrenees;0312758E;Universite federale de Toulouse Midi-Pyrenees;6;IDEX UNITI;43.5570857;1.4660794;Sciences>Physique>Section 28 - Milieux denses et materiaux;Universite de Toulouse 3 - Paul Sabatier
